===========================================================================



	R-Code for ERS-7



	Copyright (C) 2004 Sony Corporation

	All Rights Reserved.



===========================================================================


---------------------------------------------------------------------------
MWCID   Action Name                         Start pose 
---------------------------------------------------------------------------
2309    E_USRIF.M_TOUCHINFO.S_BACKF         any
2310    E_USRIF.M_TOUCHINFO.S_BACKF         any
2311    E_USRIF.M_TOUCHINFO.S_BACKM         any
2312    E_USRIF.M_TOUCHINFO.S_BACKM         any
2313    E_USRIF.M_TOUCHINFO.S_BACKR         any
2314    E_USRIF.M_TOUCHINFO.S_BACKR         any
2315    E_USRIF.M_TOUCHINFO.S_HEAD          any
2316    E_USRIF.M_TOUCHINFO.S_HEAD          any
2317    E_USRIF.M_TOUCHINFO.S_HEAD          any
2318    E_USRIF.M_TOUCHINFO.S_HEAD          any
2319    E_USRIF.M_DISPLED.S_BATTERY1        any
2320    E_USRIF.M_DISPLED.S_BATTERY2        any
2321    E_USRIF.M_DISPLED.S_BATTERY3        any
2322    E_USRIF.M_DISPLED.S_BATTERY4        any
2323    E_USRIF.M_DISPLED.S_BATTERY5        any
2324    E_USRIF.M_DISPLED.S_BATTERY6        any
2325    E_USRIF.M_DISPLED.S_BATTERY7        any
2326    E_USRIF.M_DISPLED.S_BATTERY8        any
2327    E_USRIF.M_DISPLED.S_BATTERY9        any
2328    E_USRIF.M_DISPLED.S_BATTERY10       any
2333    E_USRIF.M_TOUCHINFO.S_NOTICE2       any
2334    E_USRIF.M_DISPLED.S_NORMAL1         any
2335    E_USRIF.M_DISPLED.S_NORMAL2         any
2336    E_USRIF.M_DISPLED.S_NORMAL3         any
2337    E_USRIF.M_DISPLED.S_NORMAL4         any
2338    E_USRIF.M_DISPLED.S_NORMAL5         any
2339    E_USRIF.M_DISPLED.S_NORMAL6         any
2340    E_USRIF.M_DISPLED.S_NORMAL7         any
2341    E_USRIF.M_DISPLED.S_NORMAL8         any
2342    E_USRIF.M_DISPLED.S_NORMAL9         any
2343    E_USRIF.M_DISPLED.S_NORMAL10        any
2344    E_CLINIC.S_NORMAL.S_NORMAL          any
2345    E_CLINIC.M_MODE.S_MODEIN            any
2346    E_CLINIC.M_NOTICE.S_NOTICE1         any
